goos: darwin
goarch: arm64
pkg: skeen-kv
cpu: Apple M4
BenchmarkSkeenDestinationOverhead/N=2/mode=original/dst=1-10         	   10000	    140155 ns/op	    2208 B/op	      30 allocs/op
BenchmarkSkeenDestinationOverhead/N=2/mode=original/dst=1-10         	   10000	    138456 ns/op	    2208 B/op	      30 allocs/op
BenchmarkSkeenDestinationOverhead/N=2/mode=original/dst=1-10         	   10000	    138335 ns/op	    2208 B/op	      30 allocs/op
BenchmarkSkeenDestinationOverhead/N=2/mode=original/dst=1-10         	   10000	    137834 ns/op	    2207 B/op	      30 allocs/op
BenchmarkSkeenDestinationOverhead/N=2/mode=original/dst=1-10         	   10000	    137905 ns/op	    2207 B/op	      30 allocs/op
BenchmarkSkeenDestinationOverhead/N=2/mode=original/dst=1-10         	   10000	    138532 ns/op	    2207 B/op	      30 allocs/op
BenchmarkSkeenDestinationOverhead/N=2/mode=original/dst=1-10         	   10000	    139208 ns/op	    2207 B/op	      30 allocs/op
BenchmarkSkeenDestinationOverhead/N=2/mode=original/dst=1-10         	   10000	    138457 ns/op	    2207 B/op	      30 allocs/op
BenchmarkSkeenDestinationOverhead/N=2/mode=original/dst=1-10         	   10000	    139391 ns/op	    2207 B/op	      30 allocs/op
BenchmarkSkeenDestinationOverhead/N=2/mode=original/dst=1-10         	   10000	    139592 ns/op	    2207 B/op	      30 allocs/op
BenchmarkSkeenDestinationOverhead/N=2/mode=original/dst=2-10         	   10000	    293564 ns/op	    5046 B/op	      54 allocs/op
BenchmarkSkeenDestinationOverhead/N=2/mode=original/dst=2-10         	   10000	    293298 ns/op	    5040 B/op	      53 allocs/op
BenchmarkSkeenDestinationOverhead/N=2/mode=original/dst=2-10         	   10000	    292301 ns/op	    5039 B/op	      53 allocs/op
BenchmarkSkeenDestinationOverhead/N=2/mode=original/dst=2-10         	   10000	    292912 ns/op	    5038 B/op	      53 allocs/op
BenchmarkSkeenDestinationOverhead/N=2/mode=original/dst=2-10         	   10000	    292465 ns/op	    5039 B/op	      53 allocs/op
BenchmarkSkeenDestinationOverhead/N=2/mode=original/dst=2-10         	   10000	    293392 ns/op	    5041 B/op	      53 allocs/op
BenchmarkSkeenDestinationOverhead/N=2/mode=original/dst=2-10         	   10000	    293889 ns/op	    5038 B/op	      53 allocs/op
BenchmarkSkeenDestinationOverhead/N=2/mode=original/dst=2-10         	   10000	    293586 ns/op	    5036 B/op	      53 allocs/op
BenchmarkSkeenDestinationOverhead/N=2/mode=original/dst=2-10         	   10000	    292506 ns/op	    5038 B/op	      53 allocs/op
BenchmarkSkeenDestinationOverhead/N=2/mode=original/dst=2-10         	   10000	    293046 ns/op	    5037 B/op	      53 allocs/op
BenchmarkSkeenDestinationOverhead/N=2/mode=strengthened/dst=1-10     	   10000	    139507 ns/op	    2352 B/op	      31 allocs/op
BenchmarkSkeenDestinationOverhead/N=2/mode=strengthened/dst=1-10     	   10000	    140132 ns/op	    2352 B/op	      31 allocs/op
BenchmarkSkeenDestinationOverhead/N=2/mode=strengthened/dst=1-10     	   10000	    139544 ns/op	    2352 B/op	      31 allocs/op
BenchmarkSkeenDestinationOverhead/N=2/mode=strengthened/dst=1-10     	   10000	    139837 ns/op	    2352 B/op	      31 allocs/op
BenchmarkSkeenDestinationOverhead/N=2/mode=strengthened/dst=1-10     	   10000	    138933 ns/op	    2352 B/op	      31 allocs/op
BenchmarkSkeenDestinationOverhead/N=2/mode=strengthened/dst=1-10     	   10000	    139556 ns/op	    2352 B/op	      31 allocs/op
BenchmarkSkeenDestinationOverhead/N=2/mode=strengthened/dst=1-10     	   10000	    140728 ns/op	    2352 B/op	      31 allocs/op
BenchmarkSkeenDestinationOverhead/N=2/mode=strengthened/dst=1-10     	   10000	    140788 ns/op	    2352 B/op	      31 allocs/op
BenchmarkSkeenDestinationOverhead/N=2/mode=strengthened/dst=1-10     	   10000	    140436 ns/op	    2352 B/op	      31 allocs/op
BenchmarkSkeenDestinationOverhead/N=2/mode=strengthened/dst=1-10     	   10000	    140382 ns/op	    2352 B/op	      31 allocs/op
BenchmarkSkeenDestinationOverhead/N=2/mode=strengthened/dst=2-10     	   10000	    352179 ns/op	    7214 B/op	      71 allocs/op
BenchmarkSkeenDestinationOverhead/N=2/mode=strengthened/dst=2-10     	   10000	    350148 ns/op	    7216 B/op	      71 allocs/op
BenchmarkSkeenDestinationOverhead/N=2/mode=strengthened/dst=2-10     	   10000	    349349 ns/op	    7215 B/op	      71 allocs/op
BenchmarkSkeenDestinationOverhead/N=2/mode=strengthened/dst=2-10     	   10000	    351985 ns/op	    7215 B/op	      71 allocs/op
BenchmarkSkeenDestinationOverhead/N=2/mode=strengthened/dst=2-10     	   10000	    351392 ns/op	    7214 B/op	      71 allocs/op
BenchmarkSkeenDestinationOverhead/N=2/mode=strengthened/dst=2-10     	   10000	    349175 ns/op	    7217 B/op	      71 allocs/op
BenchmarkSkeenDestinationOverhead/N=2/mode=strengthened/dst=2-10     	   10000	    348365 ns/op	    7209 B/op	      71 allocs/op
BenchmarkSkeenDestinationOverhead/N=2/mode=strengthened/dst=2-10     	   10000	    349553 ns/op	    7211 B/op	      71 allocs/op
BenchmarkSkeenDestinationOverhead/N=2/mode=strengthened/dst=2-10     	   10000	    350148 ns/op	    7216 B/op	      71 allocs/op
BenchmarkSkeenDestinationOverhead/N=2/mode=strengthened/dst=2-10     	   10000	    348983 ns/op	    7217 B/op	      71 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=original/dst=1-10         	   10000	    140476 ns/op	    2207 B/op	      30 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=original/dst=1-10         	   10000	    140038 ns/op	    2207 B/op	      30 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=original/dst=1-10         	   10000	    139526 ns/op	    2208 B/op	      30 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=original/dst=1-10         	   10000	    139190 ns/op	    2207 B/op	      30 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=original/dst=1-10         	   10000	    139493 ns/op	    2207 B/op	      30 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=original/dst=1-10         	   10000	    140076 ns/op	    2207 B/op	      30 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=original/dst=1-10         	   10000	    139637 ns/op	    2207 B/op	      30 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=original/dst=1-10         	   10000	    139172 ns/op	    2207 B/op	      30 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=original/dst=1-10         	   10000	    139889 ns/op	    2207 B/op	      30 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=original/dst=1-10         	   10000	    140035 ns/op	    2207 B/op	      30 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=original/dst=2-10         	   10000	    293668 ns/op	    5042 B/op	      53 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=original/dst=2-10         	   10000	    292951 ns/op	    5038 B/op	      53 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=original/dst=2-10         	   10000	    293363 ns/op	    5039 B/op	      53 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=original/dst=2-10         	   10000	    293474 ns/op	    5037 B/op	      53 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=original/dst=2-10         	   10000	    295716 ns/op	    5038 B/op	      53 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=original/dst=2-10         	   10000	    293199 ns/op	    5036 B/op	      53 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=original/dst=2-10         	   10000	    294642 ns/op	    5038 B/op	      53 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=original/dst=2-10         	   10000	    293995 ns/op	    5037 B/op	      53 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=original/dst=2-10         	   10000	    293439 ns/op	    5038 B/op	      53 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=original/dst=2-10         	   10000	    292674 ns/op	    5038 B/op	      53 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=original/dst=3-10         	   10000	    485212 ns/op	    8077 B/op	      72 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=original/dst=3-10         	   10000	    486073 ns/op	    8072 B/op	      72 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=original/dst=3-10         	   10000	    487539 ns/op	    8075 B/op	      72 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=original/dst=3-10         	   10000	    489826 ns/op	    8076 B/op	      72 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=original/dst=3-10         	   10000	    488498 ns/op	    8074 B/op	      72 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=original/dst=3-10         	   10000	    489020 ns/op	    8074 B/op	      72 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=original/dst=3-10         	   10000	    489022 ns/op	    8074 B/op	      72 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=original/dst=3-10         	   10000	    487992 ns/op	    8073 B/op	      72 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=original/dst=3-10         	   10000	    487645 ns/op	    8074 B/op	      72 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=original/dst=3-10         	   10000	    484907 ns/op	    8072 B/op	      72 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=strengthened/dst=1-10     	   10000	    139569 ns/op	    2352 B/op	      31 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=strengthened/dst=1-10     	   10000	    138932 ns/op	    2352 B/op	      31 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=strengthened/dst=1-10     	   10000	    138559 ns/op	    2352 B/op	      31 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=strengthened/dst=1-10     	   10000	    140046 ns/op	    2352 B/op	      31 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=strengthened/dst=1-10     	   10000	    139688 ns/op	    2352 B/op	      31 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=strengthened/dst=1-10     	   10000	    139124 ns/op	    2352 B/op	      31 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=strengthened/dst=1-10     	   10000	    139804 ns/op	    2352 B/op	      31 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=strengthened/dst=1-10     	   10000	    139945 ns/op	    2352 B/op	      31 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=strengthened/dst=1-10     	   10000	    140719 ns/op	    2352 B/op	      31 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=strengthened/dst=1-10     	   10000	    140066 ns/op	    2352 B/op	      31 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=strengthened/dst=2-10     	   10000	    350447 ns/op	    7210 B/op	      71 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=strengthened/dst=2-10     	   10000	    349711 ns/op	    7197 B/op	      71 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=strengthened/dst=2-10     	   10000	    350565 ns/op	    7214 B/op	      71 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=strengthened/dst=2-10     	   10000	    350425 ns/op	    7213 B/op	      71 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=strengthened/dst=2-10     	   10000	    352243 ns/op	    7213 B/op	      71 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=strengthened/dst=2-10     	   10000	    350345 ns/op	    7210 B/op	      71 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=strengthened/dst=2-10     	   10000	    346132 ns/op	    7208 B/op	      71 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=strengthened/dst=2-10     	   10000	    349929 ns/op	    7210 B/op	      71 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=strengthened/dst=2-10     	   10000	    349296 ns/op	    7212 B/op	      71 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=strengthened/dst=2-10     	   10000	    349065 ns/op	    7215 B/op	      71 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=strengthened/dst=3-10     	   10000	    608377 ns/op	   12294 B/op	     104 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=strengthened/dst=3-10     	   10000	    609388 ns/op	   12292 B/op	     104 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=strengthened/dst=3-10     	   10000	    607755 ns/op	   12290 B/op	     104 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=strengthened/dst=3-10     	   10000	    609380 ns/op	   12291 B/op	     104 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=strengthened/dst=3-10     	   10000	    606788 ns/op	   12297 B/op	     104 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=strengthened/dst=3-10     	   10000	    607806 ns/op	   12292 B/op	     104 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=strengthened/dst=3-10     	   10000	    605582 ns/op	   12288 B/op	     104 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=strengthened/dst=3-10     	   10000	    609059 ns/op	   12289 B/op	     104 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=strengthened/dst=3-10     	   10000	    605676 ns/op	   12298 B/op	     105 allocs/op
BenchmarkSkeenDestinationOverhead/N=3/mode=strengthened/dst=3-10     	   10000	    611192 ns/op	   12293 B/op	     104 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=original/dst=1-10         	   10000	    140517 ns/op	    2207 B/op	      30 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=original/dst=1-10         	   10000	    140111 ns/op	    2207 B/op	      30 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=original/dst=1-10         	   10000	    140314 ns/op	    2207 B/op	      30 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=original/dst=1-10         	   10000	    141994 ns/op	    2207 B/op	      30 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=original/dst=1-10         	   10000	    141268 ns/op	    2207 B/op	      30 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=original/dst=1-10         	   10000	    139768 ns/op	    2207 B/op	      30 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=original/dst=1-10         	   10000	    140075 ns/op	    2207 B/op	      30 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=original/dst=1-10         	   10000	    140167 ns/op	    2207 B/op	      30 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=original/dst=1-10         	   10000	    139955 ns/op	    2207 B/op	      30 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=original/dst=1-10         	   10000	    139722 ns/op	    2207 B/op	      30 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=original/dst=2-10         	   10000	    294072 ns/op	    5037 B/op	      53 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=original/dst=2-10         	   10000	    293978 ns/op	    5037 B/op	      53 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=original/dst=2-10         	   10000	    295476 ns/op	    5036 B/op	      53 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=original/dst=2-10         	   10000	    295702 ns/op	    5035 B/op	      53 allocs/op
BenchmarkSkeenDestinationOverhead/N=5/mode=original/dst=2-10         	   10000	    295857 ns/op	    5036 B/op	      53 allocs/op
